#gene	percentage_gene_coverage	gene_mean_read_coverage	percentage_gene_low_coverage	number_positions_multiple_alleles	percentage_gene_identity
gb:KY586479|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_142|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586482|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_144|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586484|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_146|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586488|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_150|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586489|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_151|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586495|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_154|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586496|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_155|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586498|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_157|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586499|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_158|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586500|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_159|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586322|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_16|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586501|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_160|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586507|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_166|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586509|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_167|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586511|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_169|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586512|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_170|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586513|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_171|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586515|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_172|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586517|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_174|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586518|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_175|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586520|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_177|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586521|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_178|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586524|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_181|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586525|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_182|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586530|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_186|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586531|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_187|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586534|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_188|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586536|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_190|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586539|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_193|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586540|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_194|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586542|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_195|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586307|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_2|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586327|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_20|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586328|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_21|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586340|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_25|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586342|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_27|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586343|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_28|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586346|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_31|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586352|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_37|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586353|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_38|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586354|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_39|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586356|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_41|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586357|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_42|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586358|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_43|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586366|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_46|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586310|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_5|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586375|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_54|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586377|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_56|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586378|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_57|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586379|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_58|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586311|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_6|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586382|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_60|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586383|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_61|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586384|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_62|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586385|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_63|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586386|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_64|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586387|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_65|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586388|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_66|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586389|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_67|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586391|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_69|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586312|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_7|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586393|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_71|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586397|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_75|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586313|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_8|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586403|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_80|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586404|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_81|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586405|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_82|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586406|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_83|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586407|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_84|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586410|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_86|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586412|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_88|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586414|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_90|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586415|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_91|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586416|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_92|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586418|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_93|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586420|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_95|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586421|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_96|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586422|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_97|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586424|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_99|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586373|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_nonBKKSeq_16|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586380|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_nonBKKSeq_17|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586442|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_nonBKKSeq_25|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586465|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_nonBKKSeq_28|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586477|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_nonBKKSeq_32|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KR919821|Organism:Dengue_virus|Strain_Name:TSV08|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:HM469966|Organism:Dengue_virus_1|Strain_Name:01096/07|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:HE795086|Organism:Dengue_virus_1|Strain_Name:2008/00475|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:HM469967|Organism:Dengue_virus_1|Strain_Name:30597/07|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:AB608789|Organism:Dengue_virus_1|Strain_Name:360052|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:JF459993|Organism:Dengue_virus_1|Strain_Name:49440|Segment:null|Subtype:1-IV|Host:Human|gaps_removed|seqTyping_1-IV	0.0	0.0	100.0	0	0
gb:AB189121|Organism:Dengue_virus_1|Strain_Name:98901530_DF_DV-1|Segment:null|Subtype:1-IV|Host:Human|gaps_removed|seqTyping_1-IV	0.0	0.0	100.0	0	0
gb:AF311956|Organism:Dengue_virus_1|Strain_Name:BR/97-111|Segment:null|Subtype:1-V|Host:Human|gaps_removed|seqTyping_1-V	0.0	0.0	100.0	0	0
gb:AF311958|Organism:Dengue_virus_1|Strain_Name:BR/97-233|Segment:null|Subtype:1-V|Host:Human|gaps_removed|seqTyping_1-V	0.0	0.0	100.0	0	0
gb:AF311957|Organism:Dengue_virus_1|Strain_Name:BR/97-409|Segment:null|Subtype:1-V|Host:Human|gaps_removed|seqTyping_1-V	0.0	0.0	100.0	0	0
gb:KP188567|Organism:Dengue_virus_1|Strain_Name:BR/SJRP/1107/2013|Segment:null|Subtype:1-V|Host:Human|gaps_removed|seqTyping_1-V	0.0	0.0	100.0	0	0
gb:KP188568|Organism:Dengue_virus_1|Strain_Name:BR/SJRP/2271/2014|Segment:null|Subtype:1-V|Host:Human|gaps_removed|seqTyping_1-V	0.0	0.0	100.0	0	0
gb:KP188548|Organism:Dengue_virus_1|Strain_Name:BR/SJRP/885/2013|Segment:null|Subtype:1|Host:Human|gaps_removed|seqTyping_1	0.0	0.0	100.0	0	0
gb:EU863650|Organism:Dengue_virus_1|Strain_Name:CHI3336-02|Segment:null|Subtype:1-IV|Host:Human|gaps_removed|seqTyping_1-IV	0.0	0.0	100.0	0	0
gb:KF971870|Organism:Dengue_virus_1|Strain_Name:CHN/GuangDong/ZhongShan/Guzhen01/2013|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KF971871|Organism:Dengue_virus_1|Strain_Name:CHN/GuangDong/ZhongShan/Henglan01/2013|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KF971869|Organism:Dengue_virus_1|Strain_Name:CHN/GuangDong/ZhongShan/HuangPu01/2013|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:DQ285562|Organism:Dengue_virus_1|Strain_Name:Comoros_04.329/93|Segment:null|Subtype:1-V|Host:Human|gaps_removed|seqTyping_1-V	0.0	0.0	100.0	0	0
gb:LC011948|Organism:Dengue_virus_1|Strain_Name:D1/Hu/Chiba/NIID153/2014|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:LC016760|Organism:Dengue_virus_1|Strain_Name:D1/Hu/Hyogo/NIID188/2014|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:LC128301|Organism:Dengue_virus_1|Strain_Name:D1/Hu/Philippines/NIID13/2016|Segment:null|Subtype:1-IV|Host:Human|gaps_removed|seqTyping_1-IV	0.0	0.0	100.0	0	0
gb:AB195673|Organism:Dengue_virus_1|Strain_Name:D1/hu/Seychelles/NIID41/2003|Segment:null|Subtype:1-IV|Host:Human|gaps_removed|seqTyping_1-IV	0.0	0.0	100.0	0	0
gb:LC011949|Organism:Dengue_virus_1|Strain_Name:D1/Hu/Shizuoka/NIID181/2014|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:LC011947|Organism:Dengue_virus_1|Strain_Name:D1/Hu/Tokyo/NIID149/2014|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:AB204803|Organism:Dengue_virus_1|Strain_Name:D1/hu/Yap/NIID27/2004|Segment:null|Subtype:1-IV|Host:Human|gaps_removed|seqTyping_1-IV	0.0	0.0	100.0	0	0
gb:KY496855|Organism:Dengue_virus_1|Strain_Name:D1/Philippines/1610cTw|Segment:null|Subtype:1-IV|Host:Human|gaps_removed|seqTyping_1-IV	0.0	0.0	100.0	0	0
gb:KX380796|Organism:Dengue_virus_1|Strain_Name:D1/SG/CT1/2012|Segment:null|Subtype:1-V|Host:Human|gaps_removed|seqTyping_1-V	0.0	0.0	100.0	0	0
gb:KX380799|Organism:Dengue_virus_1|Strain_Name:D1/SG/CT11/2012|Segment:null|Subtype:1-V|Host:Human|gaps_removed|seqTyping_1-V	0.0	0.0	100.0	0	0
gb:KX380800|Organism:Dengue_virus_1|Strain_Name:D1/SG/CT16/2012|Segment:null|Subtype:1-V|Host:Human|gaps_removed|seqTyping_1-V	0.0	0.0	100.0	0	0
gb:KX380801|Organism:Dengue_virus_1|Strain_Name:D1/SG/CT17/2012|Segment:null|Subtype:1-V|Host:Human|gaps_removed|seqTyping_1-V	0.0	0.0	100.0	0	0
gb:KX380802|Organism:Dengue_virus_1|Strain_Name:D1/SG/CT25/2012|Segment:null|Subtype:1-V|Host:Human|gaps_removed|seqTyping_1-V	0.0	0.0	100.0	0	0
gb:KX380797|Organism:Dengue_virus_1|Strain_Name:D1/SG/CT3/2012|Segment:null|Subtype:1-IV|Host:Human|gaps_removed|seqTyping_1-IV	0.0	0.0	100.0	0	0
